name,birthArea,birthDate,foot,role,height,passportArea,weight,fouls,goals,own_goals,percent_pass_accuracy,percent_shots_on_target
Andr\u00e9 Ramalho Silva,Brazil,1992-02-16,right,DF,182,Brazil,78,0,0,0,0,0
Tom\u00e1\u0161 Hubo\u010dan,Slovakia,1985-09-17,right,DF,184,Slovakia,70,0,0,0,0,0
Marc Muniesa Mart\u00ednez,Spain,1992-03-27,left,DF,179,Spain,72,0,0,0,0,0
Leonardo Capezzi,Italy,1995-03-28,right,MD,178,Italy,72,0,0,0,0,0
Lionel Andr\u00e9s Messi Cuccittini,Argentina,1987-06-24,left,FW,170,Spain,72,0,0,0,0,0
Alexis Ruano Delgado,Spain,1985-08-04,right,DF,183,Spain,75,0,0,0,0,0
Mehdi Carcela-Gonz\u00e1lez,Belgium,1989-07-01,left,MD,176,Morocco,67,0,0,0,0,0
Mehdi Lacen,France,1984-03-15,left,MD,176,Algeria,70,0,0,0,0,0
Jos\u00e9 Vicente G\u00f3mez Umpi\u00e9rrez,Spain,1988-08-31,left,MD,186,Spain,78,0,0,0,0,0
Luis Hern\u00e1ndez Rodr\u00edguez,Spain,1989-04-14,right,DF,183,Spain,75,0,0,0,0,0
J\u00e1n \u010eurica,Slovakia,1981-12-10,left,DF,188,Slovakia,86,0,0,0,0,0
Gareth Frank Bale,Wales,1989-07-16,left,FW,185,Wales,81,0,0,0,0,0
John Stones,England,1994-05-28,right,DF,188,England,75,0,0,0,0,0
Bertrand Isidore Traor\u00e9,Burkina Faso,1995-09-06,left,FW,181,Burkina Faso,73,0,0,0,0,0
Amr Medhat Warda,Egypt,1993-09-17,right,MD,176,Egypt,70,0,0,0,0,0
Ronaldo  Aparecido Rodrigues,Brazil,1982-09-10,right,DF,198,Germany,91,0,0,0,0,0
\u00c1d\u00e1m Szalai,Hungary,1987-12-09,right,FW,193,Hungary,90,0,0,0,0,0
Sebastian Maier,Germany,1993-09-18,right,MD,179,Germany,68,0,0,0,0,0
Benjamin H\u00fcbner,Germany,1989-07-04,left,DF,193,Germany,86,0,0,0,0,0
Jan Mor\u00e1vek,Czech Republic,1989-11-01,right,MD,180,Czech Republic,77,0,0,0,0,0
Christian Guillermo Mart\u00edn Ramos Garagay,Peru,1988-11-04,right,DF,185,Peru,74,0,0,0,0,0
Caiuby Francisco da Silva,Brazil,1988-07-14,left,MD,184,Brazil,85,0,0,0,0,0
Samuel Bastien,Belgium,1996-09-26,right,MD,177,Belgium,73,0,0,0,0,0
Stefano Sensi,Italy,1995-08-05,right,MD,168,Italy,62,0,0,0,0,0
M\u00e1rio Figueira Fernandes,Brazil,1990-09-19,right,DF,187,Russia,80,0,0,0,0,0
Hans Carl Ludwig Augustinsson,Sweden,1994-04-21,left,DF,181,Sweden,75,0,0,0,0,0
Wilfride Kanga Aka,France,1998-02-21,right,FW,185,C\u00f4te d'Ivoire,76,0,0,0,0,0
Marek Such\u00fd,Czech Republic,1988-03-29,right,DF,183,Czech Republic,84,0,0,0,0,0
Ezequiel Mu\u00f1oz,Argentina,1990-10-08,right,DF,185,Spain,78,0,0,0,0,0
Lisandro Ezequiel L\u00f3pez,Argentina,1989-09-01,right,DF,188,Spain,82,0,0,0,0,0
Orel Mangala,Belgium,1998-03-18,right,MD,180,Belgium,78,0,0,0,0,0
Sofyan Amrabat,Netherlands,1996-08-21,right,MD,182,Morocco,70,0,0,0,0,0
Yussuf Yurary Poulsen,Denmark,1994-06-15,right,FW,193,Tanzania,78,0,0,0,0,0
Arnaud Lusamba,France,1997-01-04,right,MD,180,Congo DR,61,0,0,0,0,0
Abdoul Razzagui Camara,Guinea,1990-02-20,left,MD,178,France,70,0,0,0,0,0
K\u00e9vin Monnet-Paquet,France,1988-08-19,right,FW,184,Rwanda,81,0,0,0,0,0
Na\u00efm Sliti,France,1992-07-27,right,MD,173,Tunisia,75,0,0,0,0,0
Darko Lazovi\u0107,Serbia,1990-09-15,right,MD,181,Serbia,74,0,0,0,0,0
Manuel Lazzari,Italy,1993-11-29,right,MD,174,Italy,67,0,0,0,0,0
Jonathan Tah,Germany,1996-02-11,right,DF,194,C\u00f4te d'Ivoire,95,0,0,0,0,0
Sel\u00e7uk \u0130nan,Turkey,1985-02-10,right,MD,182,Turkey,74,0,0,0,0,0
Chris Gunter,Wales,1989-07-21,right,DF,180,Wales,71,0,0,0,0,0
Aleksandar Mitrovi\u0107,Serbia,1994-09-16,right,FW,189,Serbia,82,0,0,0,0,0
Jackson Irvine,Australia,1993-03-07,right,MD,189,Scotland,80,0,0,0,0,0
Patrick Alberto Pemberton Bernard,Costa Rica,1982-04-24,right,GK,178,Costa Rica,75,0,0,0,0,0
Vitja Valen\u010di\u010d,Slovenia,1999-03-12,right,MD,177,Slovenia,76,0,0,0,0,0
Orji Okwonkwo,Nigeria,1998-01-19,right,FW,178,Nigeria,72,0,0,0,0,0
Matteo Darmian,Italy,1989-12-02,right,DF,182,Italy,70,0,0,0,0,0
Ragnar Klavan,Estonia,1985-10-30,left,DF,187,Estonia,78,0,0,0,0,0
Gareth Barry,England,1981-02-23,left,MD,185,England,79,0,0,0,0,0
Paul Dummett,England,1991-09-26,left,DF,183,Wales,77,0,0,0,0,0
Konstantinos Mavropanos,Greece,1997-12-11,right,DF,192,Greece,80,0,0,0,0,0
Harvey Barnes,England,1997-12-09,right,MD,174,England,66,0,0,0,0,0
C\u00e9dric Bakambu,France,1991-04-11,right,FW,182,Congo DR,74,0,0,0,0,0
Leonardo Gabriel Su\u00e1rez,Argentina,1996-03-03,left,MD,167,Argentina,60,0,0,0,0,0
Konstantinos Mitroglou,Greece,1988-03-12,left,FW,188,Germany,86,0,0,0,0,0
Hamari Traor\u00e9,Mali,1992-01-27,right,DF,175,Mali,73,0,0,0,0,0
Maxime Bernauer,France,1998-07-01,right,DF,184,France,69,0,0,0,0,0
Kwame Yeboah,Australia,1994-06-02,right,FW,183,Ghana,80,0,0,0,0,0
Toby Alderweireld,Belgium,1989-03-02,right,DF,187,Belgium,91,0,0,0,0,0
Jan Vertonghen,Belgium,1987-04-24,left,DF,189,Belgium,88,0,0,0,0,0
Christian  Dannemann Eriksen,Denmark,1992-02-14,right,MD,180,Denmark,76,0,0,0,0,0
Johann  Berg Gu\u00f0munds\u00adson,Iceland,1990-10-27,left,MD,186,Iceland,77,0,0,0,0,0
Nordin Amrabat,Netherlands,1987-03-31,right,FW,178,Morocco,77,0,0,0,0,0
Nacer Chadli,Belgium,1989-08-02,right,MD,187,Morocco,80,0,0,0,0,0
Du\u0161an Tadi\u0107,Serbia,1988-11-20,left,MD,181,Serbia,76,0,0,0,0,0
Alex Iwobi,Nigeria,1996-05-03,right,MD,180,England,75,0,0,0,0,0
Maya Yoshida,Japan,1988-08-24,right,DF,189,Japan,78,0,0,0,0,0
Ali Gabr,Egypt,1989-01-10,right,DF,193,Egypt,84,0,0,0,0,0
Onyinye Wilfred Ndidi,Nigeria,1996-12-16,right,MD,187,Nigeria,80,0,0,0,0,0
Ahmed Musa,Nigeria,1992-10-14,right,FW,171,Nigeria,66,0,0,0,0,0
Mesut \u00d6zil,Germany,1988-10-15,left,MD,180,Germany,76,0,0,0,0,0
Bernardo Mota Veiga de Carvalho e Silva,Portugal,1994-08-10,left,MD,173,France,64,0,0,0,0,0
Wilfredo Daniel Caballero,Argentina,1981-09-28,right,GK,186,Spain,80,0,0,0,0,0
Divock Okoth Origi,Belgium,1995-04-18,right,FW,185,Kenya,75,0,0,0,0,0
Philippe Coutinho Correia,Brazil,1992-06-12,right,FW,171,Brazil,68,0,0,0,0,0
Marcus Rashford,England,1997-10-31,right,FW,187,England,72,0,0,0,0,0
Andreas Christensen,Denmark,1996-04-10,right,DF,188,Denmark,78,0,0,0,0,0
Roque Mesa Quevedo,Spain,1989-06-07,right,MD,171,Spain,73,0,0,0,0,0
Danilo Luiz da Silva,Brazil,1991-07-15,right,DF,184,Brazil,78,0,0,0,0,0
Nicol\u00e1s Hern\u00e1n Otamendi,Argentina,1988-02-12,right,DF,183,Argentina,81,0,0,0,0,0
Nemanja Mati\u0107,Serbia,1988-08-01,left,MD,194,Slovakia,84,0,0,0,0,0
Andr\u00e9 Mart\u00edn Carrillo D\u00edaz,Peru,1991-06-14,right,MD,181,Peru,78,0,0,0,0,0
C\u00e9dric Ricardo Alves Soares,Germany,1991-08-31,right,DF,172,Portugal,67,0,0,0,0,0
Adrien Sebastian Perruchet Silva,France,1989-03-15,right,MD,175,Portugal,69,0,0,0,0,0
Ramadan Sobhi,Egypt,1997-01-23,right,MD,183,Egypt,72,0,0,0,0,0
Cheikhou Kouyat\u00e9,Senegal,1989-12-21,right,MD,193,Belgium,78,0,0,0,0,0
Kevin De Bruyne,Belgium,1991-06-28,right,MD,181,Belgium,68,0,0,0,0,0
Michy Batshuayi Tunga,Belgium,1993-10-02,right,FW,185,Congo DR,78,0,0,0,0,0
Jo\u00e3o M\u00e1rio Naval da Costa Eduardo ,Portugal,1993-01-19,right,MD,173,Angola,67,0,0,0,0,0
Sandro  Ram\u00edrez Castillo,Spain,1995-07-09,right,FW,175,Spain,72,0,0,0,0,0
Ederson Santana de Moraes,Brazil,1993-08-17,left,GK,187,Portugal,89,0,0,0,0,0
Victor Nilsson Lindel\u00f6f,Sweden,1994-07-17,right,DF,187,Sweden,81,0,0,0,0,0
Ruben Loftus-Cheek,England,1996-01-23,right,MD,191,Jamaica,83,0,0,0,0,0
Willian Borges da Silva,Brazil,1988-08-09,right,MD,175,Brazil,75,0,0,0,0,0
Fernando Luiz Rosa,Brazil,1985-05-04,right,MD,179,Brazil,67,0,0,0,0,0
Vincent Janssen,Netherlands,1994-06-15,left,FW,183,Netherlands,88,0,0,0,0,0
\u0141ukasz Fabia\u0144ski,Poland,1985-04-18,right,GK,190,Poland,83,0,0,0,0,0
Francis Coquelin,France,1991-05-13,right,MD,178,Reunion,74,0,0,0,0,0
Gary  Cahill,England,1985-12-19,right,DF,193,England,86,0,0,0,0,0
Marko Gruji\u0107,Serbia,1996-04-13,right,MD,191,Serbia,82,0,0,0,0,0
Romelu Lukaku Menama,Belgium,1993-05-13,left,FW,190,Congo DR,94,0,0,0,0,0
David de Gea Quintana,Spain,1990-11-07,right,GK,193,Spain,82,0,0,0,0,0
Phil Jones,England,1992-02-21,right,DF,185,England,71,0,0,0,0,0
Jesse Lingard,England,1992-12-15,right,MD,174,England,65,0,0,0,0,0
Paul Pogba,France,1993-03-15,right,MD,191,Guinea,84,0,0,0,0,0
Ashley  Young,England,1985-07-09,right,DF,175,Jamaica,65,0,0,0,0,0
Javier Hern\u00e1ndez Balc\u00e1zar,Mexico,1988-06-01,right,FW,175,Mexico,73,0,0,0,0,0
Daniel Nii Tackie Mensah Welbeck,England,1990-11-26,right,FW,185,Ghana,73,0,0,0,0,0
Jordan Brian Henderson,England,1990-06-17,right,MD,182,England,67,0,0,0,0,0
Jack Butland,England,1993-03-10,right,GK,196,England,95,0,0,0,0,0
Jos\u00e9 Miguel da Rocha Fonte,Portugal,1983-12-22,right,DF,191,Portugal,75,0,0,0,0,0
Martin Olsson,Sweden,1988-05-17,left,DF,178,Sweden,81,0,0,0,0,0
Marouane Fellaini-Bakkioui,Belgium,1987-11-22,right,MD,194,Morocco,85,0,0,0,0,0
Kyle Walker,England,1990-05-28,right,DF,183,England,83,0,0,0,0,0
Danny Rose,England,1990-07-02,left,DF,174,Jamaica,76,0,0,0,0,0
Vincent Kompany,Belgium,1986-04-10,right,DF,193,Congo DR,85,0,0,0,0,0
David Josu\u00e9 Jim\u00e9nez Silva,Spain,1986-01-08,left,MD,173,Spain,67,0,0,0,0,0
Sergio Leonel Ag\u00fcero del Castillo,Argentina,1988-06-02,right,FW,173,Spain,70,0,0,0,0,0
Fabian Delph,England,1989-11-21,left,MD,174,Guyana,60,0,0,0,0,0
Kasper Schmeichel,Denmark,1986-11-05,right,GK,185,Denmark,76,0,0,0,0,0
Simon Mignolet,Belgium,1988-03-06,right,GK,193,Belgium,87,0,0,0,0,0
Victor Moses,Nigeria,1990-12-12,right,MD,177,England,75,0,0,0,0,0
Harry  Maguire,England,1993-03-05,right,DF,188,England,79,0,0,0,0,0
Harry Kane,England,1993-07-28,right,FW,188,Ireland Republic,86,0,0,0,0,0
Kieran Trippier,England,1990-09-19,right,DF,178,England,72,0,0,0,0,0
Kelechi Promise Iheanacho,Nigeria,1996-03-10,left,FW,187,Nigeria,77,0,0,0,0,0
Rolando Aarons,Jamaica,1995-11-16,left,MD,175,England,67,0,0,0,0,0
Jordan Pickford,England,1994-03-07,left,GK,185,England,77,0,0,0,0,0
Papa Alioune N'Diaye,Senegal,1990-10-27,right,MD,180,Senegal,76,0,0,0,0,0
Jan Bednarek,Poland,1996-04-12,right,DF,189,Poland,77,0,0,0,0,0
Raheem Shaquille Sterling,Jamaica,1994-12-08,right,FW,170,England,69,0,0,0,0,0
Moussa Sidi Yaya Demb\u00e9l\u00e9,Belgium,1987-07-16,left,MD,185,Mali,88,0,0,0,0,0
Luka Milivojevi\u0107,Serbia,1991-04-07,right,MD,186,Serbia,80,0,0,0,0,0
Gylfi \u00de\u00f3r Sigur\u00f0sson,Iceland,1989-09-08,right,MD,186,Iceland,77,0,0,0,0,0
Nick Pope,England,1992-04-19,right,GK,192,England,76,0,0,0,0,0
Gabriel Fernando de Jesus,Brazil,1997-04-03,right,FW,175,Brazil,67,0,0,0,0,0
